,0
0,3
1,3
2,4
3,2
4,3
5,3
6,0
7,5
8,3
9,6
10,2
11,1
12,5
13,1
14,0
15,1
16,1
17,2
18,1
19,3
20,3
21,5
22,2
23,6
24,4
25,2
26,1
27,2
28,4
29,2
30,4
31,4
32,4
33,4
34,0
35,3
36,4
37,4
38,1
39,1
40,5
41,1
42,0
43,0
44,3
45,1
46,2
47,5
48,3
49,4
50,5
51,1
52,2
53,3
54,5
55,1
56,4
57,4
58,0
59,4
60,1
61,2
62,1
63,4
64,2
65,5
66,0
67,3
68,4
69,1
70,2
71,2
72,1
73,3
74,1
75,3
76,3
77,1
78,0
79,2
80,3
81,2
82,5
83,3
84,2
85,2
86,6
87,5
88,3
89,4
90,0
91,5
92,1
93,0
94,1
95,0
96,6
97,4
98,0
99,2
100,0
101,6
102,3
103,3
104,3
105,3
106,6
107,2
108,1
109,3
110,1
111,0
112,2
113,4
114,1
115,5
116,6
117,5
118,5
119,1
120,3
121,1
122,1
123,0
124,5
125,0
126,0
127,1
128,0
129,6
130,4
131,3
132,3
133,4
134,5
135,5
136,0
137,3
138,3
139,4
140,5
141,4
142,3
143,5
144,0
145,4
146,2
147,4
148,0
149,0
150,2
151,5
152,2
153,4
154,4
155,2
156,3
157,5
158,5
159,3
160,3
161,3
162,1
163,1
164,1
165,3
166,1
167,2
168,4
169,5
170,4
171,0
172,6
173,1
174,5
175,0
176,4
177,5
178,2
179,4
180,3
181,6
182,4
183,2
184,5
185,0
186,1
187,6
188,4
189,3
190,3
191,3
192,2
193,5
194,0
195,6
196,5
197,5
198,1
199,4
200,2
201,1
202,0
203,3
204,1
205,1
206,5
207,3
208,1
209,2
210,2
211,1
212,5
213,1
214,3
215,4
216,0
217,4
218,4
219,2
220,0
221,5
222,4
223,0
224,0
225,0
226,1
227,5
228,4
229,2
230,1
231,3
232,2
233,1
234,5
235,0
236,4
237,3
238,4
239,3
240,3
241,4
242,1
243,5
244,3
245,2
246,5
247,2
248,5
249,2
250,2
251,4
252,6
253,4
254,1
255,0
256,3
257,0
258,0
259,4
260,0
261,4
262,1
263,2
264,1
265,1
266,4
267,2
268,3
269,3
270,0
271,3
272,5
273,2
274,5
275,0
276,0
277,4
278,1
279,1
280,3
281,0
282,0
283,2
284,0
285,4
286,1
287,3
288,1
289,1
290,0
291,3
292,3
293,2
294,5
295,5
296,3
297,4
298,0
299,3
300,0
301,2
302,0
303,6
304,3
305,6
306,4
307,6
308,1
309,2
310,1
311,3
312,2
313,4
314,2
315,0
316,3
317,1
318,1
319,4
320,2
321,4
322,4
323,1
324,5
325,1
326,5
327,2
328,4
329,0
330,1
331,4
332,0
333,5
334,1
335,3
336,5
337,2
338,1
339,1
340,1
341,5
342,2
343,1
344,0
345,0
346,5
347,5
348,0
349,1
350,4
351,3
352,2
353,3
354,1
355,2
356,4
357,1
358,5
359,0
360,1
361,3
362,4
363,3
364,4
365,2
366,4
367,5
368,0
369,4
370,5
371,1
372,1
373,3
374,1
375,1
376,2
377,1
378,0
379,3
380,4
381,5
382,3
383,4
384,4
385,4
386,5
387,0
388,3
389,0
390,4
391,4
392,3
393,5
394,1
395,4
396,1
397,6
398,5
399,2
400,3
401,4
402,5
403,4
404,1
405,3
406,6
407,2
408,2
409,5
410,1
411,2
412,3
413,2
414,3
415,3
416,5
417,1
418,4
419,4
420,2
421,5
422,5
423,0
424,4
425,5
426,0
427,2
428,5
429,4
430,6
431,5
432,3
433,0
434,3
435,1
436,0
437,6
438,3
439,4
440,3
441,2
442,0
443,0
444,5
445,5
446,4
447,2
448,5
449,0
450,4
451,0
452,4
453,3
454,1
455,3
456,3
457,3
458,3
459,0
460,4
461,0
462,1
463,2
464,0
465,4
466,2
467,5
468,6
469,0
470,0
471,6
472,3
473,5
474,5
475,5
476,2
477,2
478,0
479,5
480,1
481,1
482,2
483,2
484,1
485,3
486,3
487,0
488,1
489,5
490,1
491,2
492,4
493,1
494,4
495,1
496,0
497,2
498,3
499,3
500,4
501,5
502,0
503,1
504,5
505,5
506,3
507,0
508,4
509,3
510,0
511,3
512,3
513,4
514,4
515,2
516,3
517,1
518,2
519,1
520,6
521,1
522,3
523,0
524,3
525,5
526,0
527,3
528,3
529,5
530,3
531,4
532,1
533,4
534,2
535,3
536,4
537,6
538,3
539,5
540,3
541,2
542,2
543,0
544,5
545,3
546,4
547,5
548,6
549,4
550,3
551,1
552,4
553,1
554,4
555,5
556,2
557,1
558,5
559,5
560,5
561,0
562,3
563,3
564,5
565,2
566,5
567,0
568,6
569,3
570,5
571,5
572,5
573,2
574,5
575,4
576,1
577,3
578,5
579,2
580,3
581,4
582,3
583,6
584,2
585,4
586,2
587,2
588,3
589,2
590,1
591,0
592,0
593,4
594,2
595,3
596,1
597,0
598,2
599,3
600,0
601,5
602,6
603,2
604,1
605,1
606,6
607,3
608,0
609,5
610,5
611,1
612,2
613,1
614,4
615,2
616,2
617,2
618,3
619,1
620,2
621,1
622,3
623,4
624,1
625,4
626,5
627,2
628,2
629,3
630,4
631,4
632,2
633,5
634,0
635,4
636,1
637,1
638,4
639,4
640,1
641,3
642,1
643,1
644,2
645,6
646,5
647,3
648,1
649,2
650,3
651,3
652,2
653,4
654,5
655,5
656,2
657,0
658,5
659,3
660,5
661,5
662,5
663,4
664,4
665,5
666,3
667,3
668,0
669,0
670,0
671,3
672,1
673,3
674,0
675,4
676,3
677,5
678,2
679,4
680,1
681,2
682,4
683,1
684,5
685,5
686,5
687,5
688,2
689,3
690,3
691,1
692,0
693,4
694,3
695,6
696,4
697,0
698,0
699,5
700,2
701,4
702,3
703,0
704,1
705,0
706,4
707,4
708,1
709,5
710,0
711,5
712,6
713,5
714,1
715,5
716,2
717,6
718,5
719,5
720,2
721,0
722,1
723,4
724,0
725,3
726,3
727,1
728,2
729,3
730,0
731,2
732,3
733,0
734,1
735,2
736,4
737,5
738,3
739,4
740,2
741,4
742,5
743,3
744,0
745,1
746,3
747,2
748,2
749,4
750,4
751,4
752,0
753,1
754,3
755,4
756,3
757,3
758,2
759,4
760,0
761,5
762,0
763,2
764,3
765,4
766,5
767,6
768,3
769,3
770,1
771,1
772,4
773,5
774,3
775,4
776,3
777,6
778,2
779,1
780,6
781,3
782,5
783,2
784,0
785,3
786,4
787,5
788,0
789,1
790,3
791,4
792,2
793,4
794,5
795,5
796,0
797,5
798,2
799,4
800,2
801,3
802,3
803,0
804,5
805,1
806,3
807,2
808,0
809,0
810,5
811,4
812,0
813,5
814,0
815,1
816,3
817,5
818,5
819,0
820,1
821,5
822,5
823,5
824,3
825,3
826,0
827,0
828,2
829,4
830,2
831,6
832,6
833,2
834,1
835,0
836,3
837,3
838,3
839,3
840,4
841,1
842,3
843,3
844,4
845,4
846,0
847,4
848,0
849,2
850,1
851,1
852,4
853,1
854,5
855,2
856,2
857,0
858,6
859,1
860,1
861,6
862,5
863,1
864,3
865,3
866,5
867,0
868,3
869,4
870,3
871,2
872,5
873,2
874,1
875,5
876,1
877,2
878,2
879,2
880,5
881,3
